"id","question","cdu","spd","gruene","linke","partei","volksabstimmung","bayern","dkp","demokratie","III","grauen","rechte","violette","liebe","frauen","panter","lkr","welt","liberale","oeko","humanisten","tiere","gesundsforschung","volt"
"1.","Es sollen EU-weite verbindliche Bürgerentscheide eingeführt werden.","x","/","/","/","/","/","/","/","/","x","/","x","/","/","/","/","/","/","/","/","x","/","-","x"
"2.","Die EU soll sich höhere Ziele zur Reduzierung des CO2-Ausstoßes setzen.","-","/","/","/","/","x","-","/","/","x","/","x","/","/","/","/","/","/","/","/","/","/","-","/"
"3.","Die EU-Mitgliedsstaaten sollen eine gemeinsame Armee aufbauen.","/","/","x","x","x","-","/","x","/","x","/","x","-","/","x","/","x","x","/","x","/","-","-","/"
"4.","Die Europäische Union soll vorrangig Bio-Landwirtschaft fördern.","-","/","/","/","/","/","x","/","/","/","/","-","/","/","/","/","/","/","/","/","x","/","-","/"
"5.","Deutschland soll an Stelle des Euro wieder eine nationale Währung einführen.","x","x","x","x","x","/","/","/","x","/","x","/","-","x","x","x","x","x","x","x","x","-","-","x"
"6.","Die EU soll private Seenotrettungsinitiativen im Mittelmeer unterstützen.","x","/","/","/","/","x","x","/","/","x","x","x","/","/","/","x","-","/","/","/","x","-","-","/"
"7.","Auf den Handel mit Finanzprodukten (z.B. Aktien) soll eine Steuer erhoben werden.","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","-","-","-","/"
"8.","Der Anbau von gentechnisch veränderten Pflanzen soll in der EU erlaubt sein.","-","x","x","x","x","-","x","x","x","x","x","x","x","x","x","x","-","-","-","x","/","x","-","/"
"9.","EU-Bürgerinnen und -Bürger, die in ein anderes EU-Land ziehen, sollen dort nur eingeschränkt Sozialleistungen erhalten. ","/","x","x","x","/","x","/","x","x","/","-","/","x","x","x","/","/","/","x","x","x","-","-","x"
"10","EU-Bürgerinnen und -Bürger sollen bei der Europawahl ihre Stimme auch für Parteien aus anderen Mitgliedsstaaten abgeben dürfen.","x","/","/","x","x","-","x","-","/","x","x","x","/","/","-","x","x","x","/","/","/","x","-","/"
"11.","Die EU soll mehr Geld für die Entwicklungshilfe bereitstellen.","/","/","/","/","/","x","/","/","/","x","-","x","/","/","/","/","/","/","/","/","/","/","-","/"
"12.","Die EU-Mitgliedsstaaten sollen weiterhin Daten von Fluggästen speichern müssen.","/","-","x","x","x","-","x","x","x","x","/","x","x","x","x","/","/","x","x","x","x","-","-","x"
"13.","Die EU soll sich für die Einführung eines nationalen Mindestlohns in allen Mitgliedsstaaten einsetzen.","x","/","/","/","/","x","x","/","/","/","/","/","/","/","/","/","x","/","/","/","/","-","-","/"
"14.","Die EU soll am Flüchtlingsabkommen mit der Türkei festhalten.","/","x","x","x","x","x","/","x","x","x","/","x","x","/","x","/","/","-","x","-","-","-","-","-"
"15.","In der EU soll es für Aufsichtsräte von Unternehmen eine verbindliche Frauenquote geben.","-","/","/","/","/","x","x","-","/","x","/","x","/","/","/","x","x","/","x","/","x","-","-","/"
"16.","Deutschland soll aus der Europäischen Union austreten.","x","x","x","x","x","-","x","/","x","/","x","/","x","x","x","x","x","x","x","x","x","-","-","x"
"17.","In anderen EU-Staaten sollen weiterhin Atomkraftwerke betrieben werden dürfen.","-","x","x","x","x","-","-","x","x","-","x","/","x","/","x","x","/","x","x","x","/","-","-","/"
"18.","Die Europäische Union soll Zuwanderung von Fachkräften aus Nicht-EU-Ländern fördern.","/","/","/","-","/","x","x","x","/","x","x","x","x","/","x","x","/","x","/","/","/","-","-","/"
"19.","Die EU soll Mitgliedsstaaten finanziell bestrafen,  die die Presse- und Medienfreiheit verletzen.","/","/","/","/","/","x","/","x","/","x","/","x","/","/","/","/","/","x","/","/","/","-","-","/"
"20.","Die finanziellen Hilfen für wirtschaftlich schwächere Regionen in der EU sollen reduziert werden.","x","x","x","x","x","/","-","x","x","/","/","/","x","x","x","/","x","x","x","x","x","-","-","x"
"21.","In der medizinischen Forschung sollen Tierversuche weiterhin erlaubt sein.","/","/","x","-","x","-","x","/","-","x","/","-","x","x","x","x","/","x","/","-","/","x","/","/"
"22.","Die europäische Polizeibehörde Europol soll weitere Kompetenzen erhalten.","/","/","/","x","x","-","x","x","-","x","/","x","x","/","x","-","/","x","/","x","/","-","-","/"
"23.","Für die Besteuerung von Unternehmen soll es einen EU-weiten Mindestsatz geben.","-","/","/","/","/","/","x","/","/","x","/","x","/","x","/","/","/","/","/","/","/","/","-","/"
"24.","Die EU soll sich dafür einsetzen,  dass alle Mitgliedsstaaten die gleichgeschlechtliche Ehe einführen.","-","/","/","/","/","x","x","/","/","x","/","x","/","/","/","/","x","x","/","/","/","-","-","/"
"25.","Mitgliedsstaaten, die die EU-Regeln zur Begrenzung der Staatsverschuldung verletzen, sollen konsequent bestraft werden.","/","-","-","x","/","/","/","x","-","x","/","/","/","/","x","/","/","x","x","-","/","-","-","x"
"26.","In allen Mitgliedsstaaten soll eine Lkw-Maut auf Fernstraßen eingeführt werden.","x","/","/","/","/","x","x","x","/","/","/","x","-","/","/","/","/","/","/","/","x","/","-","/"
"27.","Die Europäische Union soll sich als christliche Wertegemeinschaft verstehen.","/","x","x","x","x","/","-","x","x","x","-","-","x","/","x","/","/","x","x","x","x","x","-","x"
"28.","Alle Banken sollen verstaatlicht werden.","x","x","x","/","x","x","x","/","-","/","-","-","x","x","-","x","x","x","x","/","x","-","-","x"
"29.","Alle Asylsuchenden, die versuchen über das Mittelmeer in die EU zu gelangen, sollen in ihre Heimatländer zurückgeführt werden.","-","x","x","x","x","/","/","x","x","/","/","/","x","/","x","/","x","x","x","x","x","-","-","x"
"30.","Die EU soll ihre Sanktionen gegen Russland abbauen.","x","/","x","/","/","/","/","/","-","/","/",7,"/","x","/","/","/","/","x","-","x","-","-","x"
"31.","In allen EU-Mitgliedsstaaten sollen Plastikverpackungen besteuert werden.","-","x","/","/","/","/","x","x","/","-","/","x","/","/","/","/","/","/","/","/","x","/","-","/"
"32.","In der EU sollen Initiativen gegen Antisemitismus finanziell unterstützt werden.","/","/","/","/","/","x","-","/","/","x","-","x","-","/","/","x","/","/","/","/","/","-","-","/"
"33.","Bei außenpolitischen Entscheidungen der EU soll häufiger mit Mehrheit statt einstimmig entschieden werden  können.","/","/","/","x","/","-","/","x","/","x","-","x","/","/","-","/","x","/","/","x","/","-","-","/"
"34.","Asylsuchende sollen in der EU proportional auf die Mitgliedsstaaten verteilt werden.","/","/","/","/","/","x","x","/","/","x","/","x","/","/","x","/","x","-","/","/","/","-","-","/"
"35.","Die Fangmengen für die europäische Fischerei sollen stärker begrenzt werden.","/","/","/","/","/","/","-","/","/","/","/","/","/","x","/","/","/","/","-","/","-","/","-","/"
"36.","Es sollen wieder dauerhafte Grenzkontrollen zwischen den Mitgliedsstaaten der EU stattfinden.","x","x","x","x","x","/","x","x","x","/","/","/","x","/","x","x","x","x","x","x","x","/","-","x"
"37.","Die EU soll sich langfristig zu einem europäischen Bundesstaat entwickeln.","x","/","/","x","/","-","x","x","/","x","x","x","x","/","-","x","x","-","/","x","/","-","-","/"
"38.","Jugendliche sollen ab 16 Jahren bei der Europawahl wählen dürfen.","x","/","/","/","/","x","x","/","/","x","/","/","-","/","/","x","x","/","/","/","/","/","-","/"
